ID;timestamp;status;cpu_usage;memory_usage;disk_usage;risk_score;remarks
201;2023-10-25T10:00:00Z;Healthy;12;45;30;0.12;System running smoothly
202;2023-10-25T10:05:00Z;Healthy;15;48;30;0.15;Normal load
203;2023-10-25T10:10:00Z;Warning;65;70;35;0.55;Spike detected in background job
204;2023-10-25T10:15:00Z;Healthy;20;50;31;0.20;Load normalized
205;2023-10-25T10:20:00Z;Critical;88;92;40;0.95;Memory leak suspected!
206;2023-10-25T10:25:00Z;Critical;95;98;42;0.99;System unresponsive
207;2023-10-25T10:30:00Z;Healthy;5;20;30;0.05;System rebooted manually
208;2023-10-25T10:35:00Z;Healthy;10;25;30;0.10;Startup sequence complete
209;2023-10-25T10:40:00Z;Warning;55;60;32;0.45;Database backup in progress
210;2023-10-25T10:45:00Z;Healthy;22;40;33;0.22;Backup complete
211;2023-10-25T10:50:00Z;Critical;80;85;80;0.88;Disk space running low
212;2023-10-25T10:55:00Z;Warning;60;65;81;0.62;Disk cleanup started
213;2023-10-25T11:00:00Z;Healthy;30;45;60;0.30;Disk space reclaimed
214;2023-10-25T11:05:00Z;Critical;99;99;61;0.99;DDOS Attack simulation
215;2023-10-25T11:10:00Z;Healthy;10;15;61;0.10;Firewall blocked traffic
